Title,Date,Location,URL
Rehome needed for dog,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-rehome-needed-for-dog/7825531584.html
Steel garden edging - Free,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-steel-garden-edging-free/7825514965.html
"Free removal of lawn, mowers and small engine stuff",No Date,No Location,https://charlottesville.craigslist.org/zip/d/scottsville-free-removal-of-lawn-mowers/7817820680.html
"Free removal of lawn mowers, and any small engine",No Date,No Location,https://charlottesville.craigslist.org/zip/d/scottsville-free-removal-of-lawn-mowers/7817818850.html
Free toilet,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-toilet/7823647033.html
Free- Large White Suede Sofa,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-large-white-suede/7825383626.html
Quality large wooden coffee table,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-quality-large-wooden/7825376896.html
Old chair that just needs a slipcover.,No Date,No Location,https://charlottesville.craigslist.org/zip/d/columbia-old-chair-that-just-needs/7825364994.html
FREE PIANO,No Date,No Location,https://charlottesville.craigslist.org/msg/d/nellysford-free-piano/7825359854.html
Tent structure (no roof),No Date,No Location,https://charlottesville.craigslist.org/mat/d/charlottesville-tent-structure-no-roof/7825357229.html
Kids Size Drum Set,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-kids-size-drum-set/7825349999.html
German Shorthair Pointers,No Date,No Location,https://charlottesville.craigslist.org/grd/d/troy-german-shorthair-pointers/7825321563.html
32 inch flat screen TV.   FREE,No Date,No Location,https://charlottesville.craigslist.org/app/d/pratts-32-inch-flat-screen-tv-free/7825292252.html
pick up of your old decking planks,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-pick-up-of-your-old/7818448568.html
TEAC CDW- D13 stand alone CD/DVD duplicator,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-teac-cdw-d13-stand/7823156044.html
Iso dubia roachs,No Date,No Location,https://charlottesville.craigslist.org/zip/d/gordonsville-iso-dubia-roachs/7825175388.html
Guinea Pigs,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-guinea-pigs/7825153979.html
"FREE Monitor Wall Mount, Gas Spring Monitor Arm for Computer Screen",No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-monitor-wall-mount/7825113768.html
Free outdoor animal house,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/afton-free-outdoor-animal-house/7825099668.html
Humidifier,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-humidifier/7819847656.html
LED lanterns,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-led-lanterns/7825053362.html
iPod mini + cable,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-ipod-mini-cable/7825050784.html
"Bottles, pumping supplies, books, bottle warmer",No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-bottles-pumping/7825038539.html
Maternity tops - medium and large,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-maternity-tops-medium/7825037393.html
World Religion Book Set,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-world-religion-book-set/7825033667.html
Children's Car Seat,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-childrens-car-seat/7825032287.html
Rehoming female cat,No Date,No Location,https://charlottesville.craigslist.org/zip/d/gordonsville-rehoming-female-cat/7823478430.html
Memory foam pad,No Date,No Location,https://charlottesville.craigslist.org/zip/d/earlysville-memory-foam-pad/7824933901.html
Free space heater (broken),No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-space-heater-broken/7824775662.html
Small dresser,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/charlottesville-small-dresser/7824483351.html
Kitchen cabinets,No Date,No Location,https://charlottesville.craigslist.org/zip/d/stanardsville-kitchen-cabinets/7824454468.html
Free Items in trade for help,No Date,No Location,https://charlottesville.craigslist.org/zip/d/fork-union-free-items-in-trade-for-help/7824203908.html
wanted: old computer mouses (mice?),No Date,No Location,https://charlottesville.craigslist.org/sys/d/charlottesville-wanted-old-computer/7823905380.html
Cat,No Date,No Location,https://charlottesville.craigslist.org/zip/d/palmyra-cat/7823882327.html
Wood Pallets,No Date,No Location,https://charlottesville.craigslist.org/zip/d/buckingham-wood-pallets/7823670545.html
Brick - Free,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-brick-free/7823612316.html
Rehome needed for dog,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-rehome-needed-for-dog/7823580129.html
Metal scrap removal,No Date,No Location,https://charlottesville.craigslist.org/pts/d/dyke-metal-scrap-removal/7823533099.html
Ice Packs - Refreezable,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-ice-packs-refreezable/7815290765.html
Kid's stuff,No Date,No Location,https://charlottesville.craigslist.org/zip/d/aroda-kids-stuff/7823363770.html
Hot tub,No Date,No Location,https://charlottesville.craigslist.org/zip/d/louisa-hot-tub/7823256361.html
Google Chromecast,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-google-chromecast/7823244581.html
Free Pet Rabbit!!,No Date,No Location,https://charlottesville.craigslist.org/zip/d/palmyra-free-pet-rabbit/7823173479.html
Free new mens pump,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-new-mens-pump/7823159903.html
Rings for sell,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-rings-for-sell/7822920138.html
FREE:  Abundant amounts of nice down hardwood,No Date,No Location,https://charlottesville.craigslist.org/zip/d/keswick-free-abundant-amounts-of-nice/7822695634.html
Free furniture,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/louisa-free-furniture/7822452049.html
FREE LARGE OFFICE CHAIR,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-large-office-chair/7822289386.html
Ping Pong Table FREE to a good home/frat/swim club,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-ping-pong-table-free-to/7822277823.html
Wooden Pallets [Gordonsville],No Date,No Location,https://charlottesville.craigslist.org/zip/d/gordonsville-wooden-pallets-gordonsville/7818460331.html
Cockerel for free,No Date,No Location,https://charlottesville.craigslist.org/grd/d/waynesboro-cockerel-for-free/7821327374.html
Curb Alert: Table & Cooking Pot,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-curb-alert-table/7821080372.html
soft wheeled carry bag,No Date,No Location,https://charlottesville.craigslist.org/clt/d/charlottesville-soft-wheeled-carry-bag/7820773801.html
JoeR,No Date,No Location,https://charlottesville.craigslist.org/bab/d/troy-joer/7820406237.html
men's golf shoes,No Date,No Location,https://charlottesville.craigslist.org/spo/d/charlottesville-mens-golf-shoes/7820381428.html
PRINTER INK - NEW,No Date,No Location,https://charlottesville.craigslist.org/sop/d/charlottesville-printer-ink-new/7820220443.html
Gorgeous Antique Set in Need of Some Love,No Date,No Location,https://charlottesville.craigslist.org/zip/d/ivy-gorgeous-antique-set-in-need-of/7820090060.html
2 free silkie cockerels,No Date,No Location,https://charlottesville.craigslist.org/grd/d/radiant-free-silkie-cockerels/7820074801.html
BED FRAME And BOX - Queen Size ($0 - Free),No Date,No Location,https://charlottesville.craigslist.org/fuo/d/charlottesville-bed-frame-and-box-queen/7820013704.html
BED FRAME - TWIN Size ($0 - Free),No Date,No Location,https://charlottesville.craigslist.org/fuo/d/charlottesville-bed-frame-twin-size-free/7820013290.html
Free fabric,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-fabric/7819954485.html
"Free furniture-mattress, dresser, sofa, rug",No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-furniture-mattress/7819909134.html
CURB ALERT: Free Couch,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-curb-alert-free-couch/7819776551.html
"Free - Swatch books, Architectural Products Books, Samples",No Date,No Location,https://charlottesville.craigslist.org/zip/d/boston-free-swatch-books-architectural/7819633504.html
Epson - ecotank ET-2800 desktop printer,No Date,No Location,https://charlottesville.craigslist.org/zip/d/boston-epson-ecotank-et-2800-desktop/7819628686.html
Ping Pong table,No Date,No Location,https://charlottesville.craigslist.org/zip/d/wingina-ping-pong-table/7819469981.html
FREE OAK WOOD,No Date,No Location,https://charlottesville.craigslist.org/grd/d/scottsville-free-oak-wood/7815613436.html
Queen Bedroom Set,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-bedroom-set/7819380845.html
Ethernet Cat5 patch cables,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-ethernet-cat5-patch/7819174267.html
Eagle Creek waist pack,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-eagle-creek-waist-pack/7818790756.html
Toner cartridges,No Date,No Location,https://charlottesville.craigslist.org/sop/d/charlottesville-toner-cartridges/7818731251.html
Christmas tree stand,No Date,No Location,https://charlottesville.craigslist.org/hsh/d/charlottesville-christmas-tree-stand/7818730898.html
stroller and bassinet - FREE,No Date,No Location,https://charlottesville.craigslist.org/bab/d/batesville-stroller-and-bassinet-free/7818005583.html
Full Size Air Mattresses Repurpose Vinyl,No Date,No Location,https://charlottesville.craigslist.org/zip/d/lyndhurst-full-size-air-mattresses/7817534113.html
32 inch wood kitchen tables,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/pratts-32-inch-wood-kitchen-tables/7817457637.html
"pick up of broken, damaged solar stuff",No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-pick-up-of-broken/7809204797.html
Artificial Xmas tree,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-artificial-xmas-tree/7816615625.html
Free split firewood for firepit or indoors,No Date,No Location,https://charlottesville.craigslist.org/zip/d/pratts-free-split-firewood-for-firepit/7816275883.html
Iso fish tank stand,No Date,No Location,https://charlottesville.craigslist.org/zip/d/gordonsville-iso-fish-tank-stand/7812790010.html
Iso plants for my fish tank,No Date,No Location,https://charlottesville.craigslist.org/zip/d/louisa-iso-plants-for-my-fish-tank/7812515551.html
Free Umbra kitchen trash can,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-umbra-kitchen/7815808918.html
kenmore over range microwave,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-kenmore-over-range/7815665458.html
Rehoming Pitbull,No Date,No Location,https://charlottesville.craigslist.org/zip/d/waynesboro-rehoming-pitbull/7815629724.html
Fire Wood,No Date,No Location,https://charlottesville.craigslist.org/for/d/keswick-fire-wood/7815260057.html
Blue/white area rug for kids playroom - free,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-blue-white-area-rug-for/7814506594.html
For trade or sell,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-for-trade-or-sell/7814195992.html
Ikea Lonset Slats,No Date,No Location,https://charlottesville.craigslist.org/zip/d/troy-ikea-lonset-slats/7813559513.html
